Team #,CMP,Event,P(DCMP),P(CMP)
501,2026necmp,"New England FIRST District Championship",0,0
811,2026necmp,"New England FIRST District Championship",0,0
131,2026necmp,"New England FIRST District Championship",1,0.12113
151,2026necmp,"New England FIRST District Championship",0.994557,0.0168155
571,2026necmp,"New England FIRST District Championship",1,0.513742
181,2026necmp,"New England FIRST District Championship",0,0
172,2026necmp,"New England FIRST District Championship",1,0.092802
133,2026necmp,"New England FIRST District Championship",1,0.231945
663,2026necmp,"New England FIRST District Championship",0,0
173,2026necmp,"New England FIRST District Championship",1,0.100166
125,2026necmp,"New England FIRST District Championship",1,0.951758
155,2026necmp,"New England FIRST District Championship",1,0.0207408
175,2026necmp,"New England FIRST District Championship",0.994557,0.0168155
195,2026necmp,"New England FIRST District Championship",1,0.803305
716,2026necmp,"New England FIRST District Championship",0.0317223,0.00113223
126,2026necmp,"New England FIRST District Championship",0,0
236,2026necmp,"New England FIRST District Championship",1,0.333428
246,2026necmp,"New England FIRST District Championship",0,0
166,2026necmp,"New England FIRST District Championship",1,0.444152
176,2026necmp,"New England FIRST District Championship",1,0.976765
237,2026necmp,"New England FIRST District Championship",0.430839,0.0230588
157,2026necmp,"New England FIRST District Championship",0.620873,0.0408355
467,2026necmp,"New England FIRST District Championship",0.663952,0.0527511
177,2026necmp,"New England FIRST District Championship",1,0.100439
228,2026necmp,"New England FIRST District Championship",1,0.0316149
138,2026necmp,"New England FIRST District Championship",0.246502,0.0113621
238,2026necmp,"New England FIRST District Championship",1,0.896317
348,2026necmp,"New England FIRST District Championship",1,0.0950366
558,2026necmp,"New England FIRST District Championship",1,0.0408608
178,2026necmp,"New England FIRST District Championship",1,0.100166
509,2026necmp,"New England FIRST District Championship",1,0.0302737
319,2026necmp,"New England FIRST District Championship",0.769282,0.0772832
429,2026necmp,"New England FIRST District Championship",1,0.0302737
839,2026necmp,"New England FIRST District Championship",0.800405,0.0779692
999,2026necmp,"New England FIRST District Championship",0.507393,0.0330212
5000,2026necmp,"New England FIRST District Championship",1,0.46673
1100,2026necmp,"New England FIRST District Championship",0.865448,0.100741
8410,2026necmp,"New England FIRST District Championship",0,0
9710,2026necmp,"New England FIRST District Championship",1,0.100439
6620,2026necmp,"New England FIRST District Championship",0,0
1740,2026necmp,"New England FIRST District Championship",0.0502736,0.00155449
1350,2026necmp,"New England FIRST District Championship",1,0.000170871
7760,2026necmp,"New England FIRST District Championship",0.507393,0.0330212
2170,2026necmp,"New England FIRST District Championship",1,0.0464892
2370,2026necmp,"New England FIRST District Championship",1,0.673357
6690,2026necmp,"New England FIRST District Championship",0.00683736,0.000245822
9101,2026necmp,"New England FIRST District Championship",0.0135383,0.000425446
6201,2026necmp,"New England FIRST District Championship",1,0.0207408
4311,2026necmp,"New England FIRST District Championship",0.4004,0.0136369
8421,2026necmp,"New England FIRST District Championship",0.0135383,0.000425446
1721,2026necmp,"New England FIRST District Championship",0,0
6731,2026necmp,"New England FIRST District Championship",0,0
4041,2026necmp,"New England FIRST District Championship",0.4004,0.0136369
3461,2026necmp,"New England FIRST District Championship",0,0
1761,2026necmp,"New England FIRST District Championship",0,0
4761,2026necmp,"New England FIRST District Championship",1,0.0247189
1071,2026necmp,"New England FIRST District Championship",1,0.0302737
5491,2026necmp,"New England FIRST District Championship",0.0502736,0.00155449
6691,2026necmp,"New England FIRST District Championship",0,0
1991,2026necmp,"New England FIRST District Championship",0,0
5902,2026necmp,"New England FIRST District Championship",0,0
5112,2026necmp,"New England FIRST District Championship",0.620873,0.0408355
1512,2026necmp,"New England FIRST District Championship",0.865448,0.100741
2712,2026necmp,"New England FIRST District Championship",0,0
5422,2026necmp,"New England FIRST District Championship",0.982485,0.222217
1922,2026necmp,"New England FIRST District Championship",1,0.267215
5142,2026necmp,"New England FIRST District Championship",0,0
2342,2026necmp,"New England FIRST District Championship",0.192597,0.00852188
2262,2026necmp,"New England FIRST District Championship",0.0317223,0.00113223
6762,2026necmp,"New England FIRST District Championship",0.00546062,9.23889e-05
5962,2026necmp,"New England FIRST District Championship",0.4004,0.0136369
4572,2026necmp,"New England FIRST District Championship",1,0.0408608
3182,2026necmp,"New England FIRST District Championship",0,2.29567e-09
8013,2026necmp,"New England FIRST District Championship",1,0.168011
2713,2026necmp,"New England FIRST District Championship",1,0.303258
5813,2026necmp,"New England FIRST District Championship",1,0.567149
8023,2026necmp,"New England FIRST District Championship",0,0
3323,2026necmp,"New England FIRST District Championship",1,0.026836
2423,2026necmp,"New England FIRST District Championship",1,0.0464892
2523,2026necmp,"New England FIRST District Championship",0.0502736,0.00155449
3623,2026necmp,"New England FIRST District Championship",1,0.0408608
6333,2026necmp,"New England FIRST District Championship",0.192597,0.00852188
6933,2026necmp,"New England FIRST District Championship",0.430839,0.0230588
9443,2026necmp,"New England FIRST District Championship",0,0
1153,2026necmp,"New England FIRST District Championship",1,0.100439
6153,2026necmp,"New England FIRST District Championship",0.828274,0.102254
7153,2026necmp,"New England FIRST District Championship",1,0.0316149
5563,2026necmp,"New England FIRST District Championship",0,0
1073,2026necmp,"New England FIRST District Championship",1,0.560366
4473,2026necmp,"New England FIRST District Championship",1,0.0302737
9193,2026necmp,"New England FIRST District Championship",0,0
7314,2026necmp,"New England FIRST District Championship",0,0
6324,2026necmp,"New England FIRST District Championship",1,0.57352
