Team #,CMP,Event,P(DCMP)
4186,2026cancmp,FIRST California Northern State Championship,0.305289
9696,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.331802
5507,2026cancmp,FIRST California Northern State Championship,0.573216
7607,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0890195
5817,2026cancmp,FIRST California Northern State Championship,1
5027,2026cancmp,FIRST California Northern State Championship,0.0984804
7327,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0362754
2827,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0133267
5137,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.590099
7137,2026cancmp,FIRST California Northern State Championship,0.466197
2637,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,1
7447,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.124425
3647,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.736794
7157,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.658211
3257,2026cancmp,FIRST California Northern State Championship,0.783126
6657,2026cancmp,FIRST California Northern State Championship,0.29969
1857,2026cancmp,FIRST California Northern State Championship,0.501574
5857,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.356774
2367,2026cancmp,FIRST California Northern State Championship,0.0989624
7667,2026cancmp,FIRST California Northern State Championship,0.167586
1967,2026cancmp,FIRST California Northern State Championship,0.567155
7777,2026cancmp,FIRST California Northern State Championship,0.156966
1197,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.955518
3408,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.226984
9408,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.954756
6418,2026cancmp,FIRST California Northern State Championship,0.443482
6918,2026cancmp,FIRST California Northern State Championship,0.266178
3128,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,1
3328,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0890195
7528,2026cancmp,FIRST California Northern State Championship,0.0725996
5728,2026cancmp,FIRST California Northern State Championship,0.148541
9038,2026cancmp,FIRST California Northern State Championship,0.377211
1138,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.999843
6238,2026cancmp,FIRST California Northern State Championship,0.668229
1538,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.938001
4738,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.938001
8048,2026cancmp,FIRST California Northern State Championship,0.411049
1148,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.999843
1458,2026cancmp,FIRST California Northern State Championship,0.619094
5458,2026cancmp,FIRST California Northern State Championship,0.351251
2658,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.151767
6658,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.268836
8768,2026cancmp,FIRST California Northern State Championship,0.340271
1868,2026cancmp,FIRST California Northern State Championship,0.441896
1678,2026cancmp,FIRST California Northern State Championship,1
